col_0,col_1,col_2,col_3
-1.6655989,-1.2810065,4.474211,-3.2633304e+38
-1.6593407,-1.2827364,4.480253,-3.38343e+38
-1.6517867,-1.2834772,4.4828405,-3.1966605e+38
-1.6485232,-1.2875767,4.497159,-2.9298245e+38
-1.6481725,-1.2940059,4.519614,-2.6895211e+38
-1.6452636,-1.2984831,4.5352526,-2.5026473e+38
-1.6343428,-1.2966511,4.528854,-2.6361437e+38
-1.6173191,-1.2899325,4.5053873,-2.8363623e+38
-1.5986683,-1.2818375,4.4771137,-2.9566184e+38
-1.5653431,-1.261827,4.4072223,-3.1704416e+38
-1.5441351,-1.2514215,4.3708787,-3.2373202e+38
-1.5243155,-1.2420348,4.3380938,-3.2376334e+38
-1.4878088,-1.2188755,4.2572045,
-1.470419,-1.2112099,4.2304306,
-1.461727,-1.2106642,4.228524,
-1.4521554,-1.2093796,4.2240376,
-1.442627,-1.2081171,4.2196283,-3.371391e+38
-1.4337277,-1.2073704,4.21702,-3.318066e+38
-1.4246209,-1.2064393,4.213768,-3.318118e+38
-1.4152673,-1.2052878,4.2097464,-3.371496e+38
-1.4061548,-1.2043295,4.206399,-3.3848403e+38
-1.3971522,-1.203455,4.2033443,-3.3847881e+38
-1.3882171,-1.202629,4.2004595,-3.3714437e+38
-1.3792435,-1.2017597,4.1974235,-3.3847881e+38
-1.3704237,-1.2010151,4.1948233,-3.3981326e+38
-1.3618532,-1.2004818,4.1929603,
-1.3542053,-1.2007601,4.193932,
-1.3379686,-1.1933811,4.168159,-3.3448066e+38
-1.3289258,-1.192369,4.164624,-3.3714953e+38
-1.326107,-1.1969625,4.1806684,
-1.27887,-1.1612774,4.05603,-3.371495e+38
-1.2468133,-1.139028,3.9783185,
-1.1348109,-1.0430276,3.6430151,-3.2779798e+38
-0.9591689,-0.8869984,3.098047,-2.8640945e+38
-0.8750717,-0.8142227,2.8438609,-2.6371353e+38
-0.85172254,-0.797418,2.7851667,-2.623426e+38
-0.81412894,-0.76698375,2.678868,-2.4499488e+38
-0.8068543,-0.7649097,2.6716237,-2.4499484e+38
-0.7993053,-0.7625475,2.6633735,-2.4099151e+38
-0.7949348,-0.7632069,2.6656766,-2.383122e+38
-0.7913851,-0.7646679,2.6707795,-2.3430887e+38
-0.7891493,-0.7674255,2.6804109,-2.3830176e+38
-0.7852878,-0.76862764,2.6846097,-2.3696732e+38
-0.78095716,-0.7693833,2.6872492,-2.4094983e+38
-0.776094,-0.76962095,2.6880789,-2.3828095e+38
-0.771407,-0.77003735,2.6895335,-2.3828097e+38
-0.7663175,-0.7700549,2.6895947,-2.3694651e+38
-0.7613149,-0.77016073,2.6899643,-2.3827574e+38
-0.75619996,-0.77015346,2.689939,-2.3827574e+38
-0.7510309,-0.77009064,2.6897197,-2.3961016e+38
-0.7456684,-0.76982737,2.6887999,-2.3828612e+38
-0.73984325,-0.7690793,2.6861873,-2.369569e+38
-0.7327847,-0.7670299,2.6790292,-2.3295877e+38
-0.7249027,-0.764084,2.6687398,-2.3030031e+38
