col_0,col_1,col_2,col_3
-1.0174202,-0.5462778,2.5508819,-2.409239e+38
-1.010433,-0.5451215,2.5454822,-2.4360322e+38
-1.0042412,-0.54438514,2.5420437,-2.4761695e+38
-1.0049723,-0.54741263,2.556181,-2.5564965e+38
-1.0326021,-0.56519246,2.639205,-2.8502298e+38
-1.0896922,-0.5993493,2.798703,-3.117535e+38
-1.104114,-0.6102578,2.8496408,-3.1443278e+38
-1.1461874,-0.6366323,2.9727983,-3.2246549e+38
-1.2443919,-0.6945994,3.2434795,
-1.3598083,-0.76279825,3.561939,
-1.3760257,-0.7757541,3.622437,
-1.3021992,-0.7378215,3.4453084,
-1.2509032,-0.7123362,3.3263028,-3.2516043e+38
-1.2050724,-0.68972,3.220695,-2.944683e+38
-1.1646978,-0.67001194,3.1286669,-2.6244172e+38
-1.1506108,-0.6653018,3.1066723,-2.51761e+38
-1.1515299,-0.66926444,3.1251764,-2.517558e+38
-1.1555233,-0.6750642,3.1522589,-2.5708832e+38
-1.1604025,-0.68144464,3.1820526,-2.624261e+38
-1.17945,-0.6962557,3.2512138,-2.7710491e+38
-1.203986,-0.7144796,3.3363118,-2.9044934e+38
-1.2369334,-0.7379142,3.4457412,-3.091263e+38
-1.3029531,-0.78143305,3.6489553,-3.3848399e+38
-1.3267374,-0.7999514,3.7354279,
-1.3409188,-0.81284773,3.7956483,
-1.3426371,-0.8182875,3.8210497,
-1.3625159,-0.8349148,3.8986921,
-1.3714558,-0.84498405,3.9457111,
-1.387799,-0.85975033,4.014663,
-1.3897874,-0.8657377,4.0426216,
-1.4007561,-0.8774167,4.0971575,
-1.3903517,-0.87576354,4.089438,
-1.3798419,-0.8740251,4.0813203,
-1.3678478,-0.8713215,4.0686955,
-1.3648232,-0.8743332,4.082759,
-1.3579327,-0.8748886,4.0853524,
-1.34991,-0.87471676,4.08455,
-1.3424166,-0.8748879,4.085349,
-1.3347133,-0.8749234,4.085515,
-1.3267369,-0.8747792,4.0848417,
-1.3185692,-0.8745065,4.083568,
-1.3103347,-0.8741859,4.0820713,
-1.3019555,-0.8737645,4.0801034,
-1.2935349,-0.87331,4.0779815,
-1.2851276,-0.87285936,4.0758767,
-1.2767098,-0.87239575,4.073712,
-1.2683294,-0.87195235,4.0716414,
-1.2600098,-0.87154543,4.0697412,
-1.2517613,-0.8711832,4.06805,
-1.2435948,-0.8708737,4.0666046,
-1.235491,-0.87060463,4.065348,
-1.2274976,-0.8704103,4.0644407,
-1.2195433,-0.8702416,4.063653,
-1.2116587,-0.8701207,4.0630884,
-1.2038089,-0.8700234,4.062634,
-1.1959758,-0.869937,4.0622306,
-1.1882972,-0.86996263,4.0623503,
-1.1805931,-0.8699698,4.0623837,
-1.172214,-0.8694764,4.0600796,
-1.162178,-0.8677394,4.0519686,
-1.1499071,-0.86429924,4.035905,
-1.1403755,-0.86288565,4.029304,
-1.020035,-0.5428256,2.5574377,-2.382498e+38
-1.0137584,-0.5420661,2.5538595,-2.395999e+38
-1.0058423,-0.5404184,2.5460966,-2.4093434e+38
-0.9986512,-0.5391462,2.5401027,-2.4095517e+38
-1.0069871,-0.546285,2.573736,-2.6231145e+38
-1.0344889,-0.5639415,2.6569219,-2.8902632e+38
-1.0444945,-0.57218647,2.695767,-2.9704859e+38
-1.0834403,-0.5964445,2.8100548,-3.07771e+38
-1.1657625,-0.64493996,3.0385334,-3.3179615e+38
-1.2499248,-0.69494087,3.274105,
-1.2479361,-0.69730365,3.2852368,
-1.1746767,-0.6596662,3.107914,-3.0912627e+38
-1.1376443,-0.64209574,3.0251334,-2.7576007e+38
-1.1217195,-0.63632053,2.9979246,-2.6239485e+38
-1.1041982,-0.62957627,2.96615,-2.410438e+38
-1.10267,-0.63192827,2.977231,-2.3436639e+38
-1.1069913,-0.6376741,3.0043015,-2.3170272e+38
-1.1144756,-0.6453109,3.040281,-2.3570083e+38
-1.1235073,-0.6539278,3.0808785,-2.4237822e+38
-1.1446801,-0.66973865,3.1553688,-2.5838632e+38
-1.1674979,-0.68668336,3.235201,-2.7572883e+38
-1.1976324,-0.7081336,3.3362603,-2.9575065e+38
-1.2476354,-0.7416221,3.4940362,-3.21105e+38
-1.2742559,-0.7614954,3.5876663,-3.331254e+38
-1.2855488,-0.7723734,3.638916,
-1.2751205,-0.7702479,3.6289022,-3.3447545e+38
-1.2777858,-0.7760517,3.656246,-3.384788e+38
-1.2867255,-0.78575045,3.70194,
-1.3075068,-0.8028265,3.7823915,
-1.3365532,-0.8251943,3.8877738,
-1.3920074,-0.8642053,4.071568,
-1.3888323,-0.8670497,4.084969,
-1.3763894,-0.8641077,4.0711083,
-1.3619072,-0.85984504,4.0510254,
-1.3606037,-0.8639015,4.0701365,
-1.3577548,-0.86701757,4.0848174,
-1.3500904,-0.8670767,4.085096,
-1.342359,-0.8670932,4.0851736,
-1.3346246,-0.867108,4.085243,
-1.3265982,-0.86693203,4.0844145,
-1.3183421,-0.86660314,4.0828648,
-1.3100469,-0.86624455,4.0811753,
-1.3016208,-0.8657944,4.079055,
-1.2931614,-0.86531675,4.076804,
-1.284672,-0.8648131,4.0744314,
-1.2762008,-0.8643157,4.072088,
-1.2677791,-0.86384594,4.069875,
-1.2594206,-0.86341375,4.0678387,
-1.251139,-0.86302924,4.066027,
-1.2429355,-0.86269426,4.064449,
-1.2348027,-0.8624044,4.063083,
-1.2268274,-0.86222154,4.0622215,
-1.2188569,-0.8620398,4.0613656,
-1.2109762,-0.86191976,4.0608,
-1.2031435,-0.86183244,4.0603886,
-1.1952913,-0.8617299,4.0599055,
-1.1876444,-0.86177516,4.0601187,
-1.1799932,-0.8618177,4.0603194,
-1.1717275,-0.8614092,4.0583944,
-1.1618366,-0.8597926,4.050778,
-1.1499695,-0.8566821,4.0361238,
-1.1406233,-0.85542053,4.03018,
-1.0214015,-0.5386901,2.5608637,-2.3824457e+38
-1.0164069,-0.5386201,2.5605314,-2.4091868e+38
-1.0105159,-0.5380723,2.557927,-2.409291e+38
-1.0040483,-0.53721064,2.5538309,-2.409395e+38
-1.0018942,-0.53865963,2.5607193,-2.4895139e+38
-1.0091618,-0.54521316,2.5918736,-2.67644e+38
-1.0161692,-0.55168945,2.622661,-2.8233327e+38
-1.0454086,-0.5703591,2.711414,-2.970538e+38
-1.0985134,-0.6022985,2.86325,-3.2240817e+38
-1.1358255,-0.6258538,2.9752288,-3.2641672e+38
-1.1203461,-0.62041026,2.949351,-3.0506567e+38
-1.0777388,-0.59981406,2.8514395,-2.6504805e+38
-1.0623986,-0.594262,2.8250458,-2.3969368e+38
-1.0723293,-0.60286087,2.8659236,-2.4500542e+38
-1.0778404,-0.60905015,2.8953466,-2.4500544e+38
-1.0826081,-0.61488056,2.9230638,-2.3966768e+38
-1.0892824,-0.62185955,2.9562407,-2.3566436e+38
-1.098069,-0.63012296,2.995524,-2.3700401e+38
-1.1057533,-0.6378366,3.0321937,-2.3833843e+38
-1.1247339,-0.6521812,3.1003861,-2.4900877e+38
-1.143793,-0.6667225,3.1695135,-2.596843e+38
-1.1659099,-0.6832095,3.2478907,-2.7436835e+38
-1.1898443,-0.70094246,3.3321908,-2.9038685e+38
-1.2145413,-0.71931684,3.4195402,-3.07745e+38
-1.2182989,-0.72542053,3.4485564,-3.1307757e+38
-1.2105335,-0.72469187,3.4450927,-3.0909508e+38
-1.199415,-0.721937,3.4319963,-3.0242288e+38
-1.2030994,-0.7281108,3.4613457,-3.051126e+38
-1.2121832,-0.737638,3.5066369,-3.1578811e+38
-1.2573986,-0.7693788,3.6575282,-3.3982368e+38
-1.3486015,-0.8297673,3.9446075,
-1.3771089,-0.85203964,4.0504875,
-1.3730298,-0.8542871,4.0611715,
-1.3591715,-0.850441,4.0428877,
-1.3550762,-0.8526947,4.0536017,
-1.3575208,-0.8591129,4.084113,
-1.351368,-0.8601328,4.0889616,
-1.3433175,-0.85994965,4.088091,
-1.3351678,-0.85970044,4.086906,
-1.32665,-0.85920995,4.084574,
-1.3181268,-0.85871017,4.082198,
-1.3097247,-0.8582837,4.080171,
-1.3012397,-0.85779774,4.077861,
-1.2927465,-0.85730046,4.0754967,
-1.2841661,-0.8567388,4.072827,
-1.2756596,-0.8562202,4.070361,
-1.2672019,-0.8557281,4.068022,
-1.2587965,-0.85526544,4.0658226,
-1.2504783,-0.8548568,4.06388,
-1.2422452,-0.85450166,4.0621915,
-1.2340986,-0.8542018,4.060766,
-1.2261009,-0.854002,4.0598164,
-1.2181205,-0.85381174,4.058912,
-1.2102294,-0.85368216,4.0582957,
-1.202416,-0.8536058,4.057933,
-1.1945637,-0.853501,4.0574346,
-1.1869445,-0.85356224,4.057726,
-1.179357,-0.8536474,4.0581307,
-1.1711062,-0.8532502,4.0562425,
-1.1612146,-0.8516446,4.0486093,
-1.1499604,-0.8490113,4.0360913,
-1.1408408,-0.8479294,4.030948,
-1.0213376,-0.533794,2.5607035,-2.3556526e+38
-1.0169736,-0.53405565,2.561959,-2.3557568e+38
-1.0125144,-0.53426975,2.5629857,-2.3691534e+38
-1.0080248,-0.5344697,2.563945,-2.3692576e+38
-1.0036232,-0.53471845,2.5651386,-2.4092908e+38
-1.0010365,-0.53594136,2.5710049,-2.4893577e+38
-1.0016583,-0.53890246,2.5852098,-2.5961131e+38
-1.0161772,-0.54940623,2.6355984,-2.7697987e+38
-1.0410234,-0.56562525,2.7134037,-2.9566202e+38
-1.0550028,-0.576072,2.7635186,-2.9833613e+38
-1.0459225,-0.5739687,2.7534287,-2.7832474e+38
-1.0286646,-0.567334,2.721601,-2.4897224e+38
-1.0272106,-0.5693927,2.7314768,-2.316245e+38
-1.0475873,-0.5836346,2.7997978,-2.369727e+38
-1.0616221,-0.5944706,2.8517802,-2.4230527e+38
-1.0708002,-0.60268426,2.8911822,-2.3830197e+38
-1.0810553,-0.61159164,2.9339128,-2.3563306e+38
-1.0911831,-0.6205191,2.9767394,-2.329694e+38
-1.098023,-0.6276601,3.0109959,-2.3030053e+38
-1.1146303,-0.6404883,3.072535,-2.4097606e+38
-1.1331474,-0.65455467,3.140014,-2.5165158e+38
-1.1497309,-0.66764706,3.2028203,-2.6367197e+38
-1.158668,-0.67641485,3.244881,-2.7301306e+38
-1.1774782,-0.691071,3.315189,-2.89042e+38
-1.1812214,-0.6969942,3.3436036,-2.9437977e+38
-1.1789566,-0.6994171,3.355227,-2.9572982e+38
-1.166581,-0.6958356,3.3380456,-2.8905762e+38
-1.1630923,-0.6975446,3.346244,-2.8508036e+38
-1.1539952,-0.6958905,3.338309,-2.7840295e+38
-1.185787,-0.7190113,3.4492238,-3.0244892e+38
-1.2640166,-0.7707034,3.6971998,
-1.329347,-0.815064,3.9100053,
-1.3631102,-0.8404592,4.031831,
-1.3651477,-0.84646976,4.060664,
-1.3564289,-0.84584093,4.0576477,
-1.3566141,-0.85078925,4.0813856,
-1.352442,-0.85304594,4.0922112,
-1.3446891,-0.853057,4.0922647,
-1.3362625,-0.8526385,4.0902567,
-1.3270702,-0.8517236,4.085868,
-1.3181205,-0.8509546,4.0821786,
-1.3094116,-0.8503328,4.079196,
-1.3007998,-0.849767,4.076482,
-1.2922523,-0.8492368,4.0739384,
-1.2836335,-0.84865296,4.0711374,
-1.2750971,-0.848117,4.0685663,
-1.2665812,-0.8475881,4.066029,
-1.2581202,-0.8470897,4.063638,
-1.2497723,-0.84666187,4.061586,
-1.2415109,-0.84628755,4.05979,
-1.2333584,-0.84598327,4.0583305,
-1.2253261,-0.84575814,4.0572505,
-1.217342,-0.8455637,4.056318,
-1.209447,-0.845429,4.0556717,
-1.2016338,-0.8453502,4.0552936,
-1.1937906,-0.84524906,4.054808,
-1.1862011,-0.84532756,4.055185,
-1.1786277,-0.84541845,4.055621,
-1.1704527,-0.84507626,4.0539794,
-1.1606915,-0.84357667,4.0467854,
-1.149981,-0.8413625,4.036164,
-1.1410381,-0.8404206,4.0316453,
-1.0207688,-0.52863705,2.5592775,-2.275534e+38
-1.0165893,-0.528991,2.560991,-2.2888786e+38
-1.0125682,-0.5294311,2.5631218,-2.3155675e+38
-1.0089537,-0.53008914,2.5663078,-2.3423603e+38
-1.0046531,-0.53039134,2.5677707,-2.3689972e+38
-0.9997342,-0.5303685,2.56766,-2.382342e+38
-0.99628866,-0.53113085,2.5713508,-2.409083e+38
-0.9989482,-0.53517145,2.5909126,-2.475909e+38
-1.0044483,-0.5407814,2.6180718,-2.5425791e+38
-1.0109288,-0.5469775,2.648069,-2.5827164e+38
-1.0114399,-0.5499897,2.6626518,-2.529339e+38
-1.0108112,-0.55240923,2.6743653,-2.4226357e+38
-1.0168909,-0.5585378,2.7040355,-2.3425692e+38
-1.0375527,-0.5727787,2.7729795,-2.4361362e+38
-1.0505162,-0.5828933,2.821947,-2.4361884e+38
-1.0621902,-0.5923924,2.8679347,-2.382759e+38
-1.0756506,-0.60299087,2.9192448,-2.3427258e+38
-1.0879806,-0.61306226,2.9680033,-2.3027968e+38
-1.0952196,-0.6203547,3.003308,-2.2494192e+38
-1.1106516,-0.6323886,3.0615673,-2.3429343e+38
-1.1301283,-0.6468641,3.1316476,-2.4896706e+38
-1.142686,-0.6575117,3.1831954,-2.5697894e+38
-1.1459271,-0.6628831,3.2091997,-2.5964782e+38
-1.1570873,-0.67291737,3.2577784,-2.7167343e+38
-1.1641507,-0.6806641,3.2952826,-2.8635746e+38
-1.1648923,-0.6847784,3.3152008,-2.8903677e+38
-1.1570567,-0.6838679,3.3107927,-2.8502826e+38
-1.1512997,-0.68418264,3.3123167,-2.7971132e+38
-1.1354347,-0.6784611,3.2846172,-2.6370323e+38
-1.1419784,-0.6861401,3.3217933,-2.7039107e+38
-1.1794424,-0.7125857,3.4498236,-2.9975397e+38
-1.2446294,-0.7561697,3.6608257,-3.398028e+38
-1.3253187,-0.80971444,3.9200506,
-1.3672571,-0.8400552,4.066939,
-1.3569833,-0.83847874,4.0593066,
-1.3488592,-0.83822006,4.0580544,
-1.3496317,-0.843519,4.083708,
-1.3447912,-0.8453507,4.0925756,
-1.3360832,-0.84475833,4.089708,
-1.3274119,-0.84418243,4.08692,
-1.3180726,-0.84317243,4.0820303,
-1.309104,-0.84238905,4.0782375,
-1.3003232,-0.8417179,4.0749884,
-1.2917136,-0.84115016,4.07224,
-1.2830673,-0.8405516,4.069342,
-1.274484,-0.8399874,4.0666103,
-1.2659211,-0.8394297,4.0639105,
-1.2574111,-0.8389004,4.061348,
-1.2490354,-0.83845484,4.0591908,
-1.2407465,-0.8380623,4.0572906,
-1.2325729,-0.8377433,4.055746,
-1.2245104,-0.8374962,4.05455,
-1.216524,-0.8372984,4.053592,
-1.2086351,-0.83716553,4.052949,
-1.2008082,-0.83707434,4.0525074,
-1.1929715,-0.8369749,4.0520263,
-1.1853921,-0.83705604,4.052419,
-1.1778457,-0.8371616,4.05293,
-1.1697762,-0.8368944,4.051636,
-1.1603246,-0.8356281,4.045506,
-1.150056,-0.83375275,4.036427,
-1.1412423,-0.8329141,4.0323668,
-1.0203646,-0.5235699,2.558264,-2.2354487e+38
-1.0161965,-0.5239255,2.5600014,-2.2487933e+38
-1.012237,-0.5243925,2.5622833,-2.2888265e+38
-1.0088826,-0.52517915,2.566127,-2.3555485e+38
-1.0048999,-0.52564466,2.5684016,-2.368841e+38
-1.0001981,-0.52573675,2.5688517,-2.3421526e+38
-0.9966324,-0.5264298,2.572238,-2.3688414e+38
-0.9951921,-0.5282579,2.5811706,-2.3822899e+38
-0.99350744,-0.52997386,2.5895548,-2.355601e+38
-0.99586946,-0.53387606,2.6086218,-2.3689976e+38
-0.9983751,-0.5378948,2.6282582,-2.3556532e+38
-1.0037532,-0.54350924,2.6556914,-2.3690497e+38
-1.0136089,-0.5516172,2.6953084,-2.3957385e+38
-1.0322134,-0.5645928,2.7587097,-2.4892534e+38
-1.0432605,-0.5735458,2.8024561,-2.475909e+38
-1.0568919,-0.5840189,2.8536294,-2.3958947e+38
-1.0730639,-0.59601086,2.9122245,-2.3558617e+38
-1.0876697,-0.60725284,2.967155,-2.3159849e+38
-1.0966959,-0.6154804,3.0073564,-2.2759517e+38
-1.1106589,-0.6265792,3.0615876,-2.3426739e+38
-1.1268603,-0.6390643,3.1225922,-2.4360847e+38
-1.1373522,-0.64842635,3.1683369,-2.476222e+38
-1.1402806,-0.65355295,3.1933863,-2.4895664e+38
-1.1447934,-0.6596473,3.2231646,-2.5296517e+38
-1.1500819,-0.6662566,3.2554588,-2.6231147e+38
-1.1528407,-0.671464,3.280903,-2.7165775e+38
-1.1503239,-0.6736384,3.2915277,-2.7166296e+38
-1.1471893,-0.6754728,3.300491,-2.6900972e+38
-1.1375906,-0.6735005,3.2908537,-2.6900972e+38
-1.1294632,-0.67238206,3.285389,-2.6368757e+38
-1.1345257,-0.67914706,3.318444,-2.743631e+38
-1.1715552,-0.7052304,3.4458923,-3.0239158e+38
-1.2543921,-0.75933594,3.7102625,
-1.3226901,-0.80520195,3.934373,
-1.3174891,-0.80659163,3.9411628,
-1.3108401,-0.8071056,3.943674,
-1.3325131,-0.82516384,4.0319104,
-1.3391604,-0.8340724,4.0754395,
-1.3333753,-0.8352963,4.0814195,
-1.3273855,-0.83640534,4.0868387,
-1.3178064,-0.8352526,4.081206,
-1.3087707,-0.8344326,4.0771995,
-1.2998389,-0.8336695,4.0734706,
-1.2911422,-0.833049,4.070439,
-1.282432,-0.8324121,4.067327,
-1.2738005,-0.8318191,4.0644293,
-1.2652065,-0.83124334,4.061616,
-1.2566602,-0.8306922,4.058923,
-1.2482489,-0.830224,4.056635,
-1.2399564,-0.8298293,4.0547066,
-1.2317544,-0.82949084,4.053053,
-1.2236525,-0.8292158,4.051709,
-1.2156729,-0.8290208,4.050756,
-1.207779,-0.8288821,4.0500784,
-1.1999325,-0.82877433,4.049552,
-1.1921151,-0.8286854,4.0491176,
-1.1845248,-0.82875425,4.0494537,
-1.1770138,-0.82887983,4.0500674,
-1.1690671,-0.8286982,4.04918,
-1.1599027,-0.82764524,4.044035,
-1.150087,-0.82611054,4.036536,
-1.1414249,-0.8253894,4.0330124,
-1.020095,-0.5185751,2.5575879,-2.2221043e+38
-1.015909,-0.5189175,2.5592768,-2.2353968e+38
-1.0119683,-0.5193892,2.5616033,-2.27543e+38
-1.0087147,-0.52021986,2.5656998,-2.3688408e+38
-1.0050445,-0.52084255,2.5687711,-2.3955296e+38
-1.0009767,-0.5212643,2.570851,-2.3821337e+38
-0.99789053,-0.5222039,2.5754855,-2.3954781e+38
-0.99601173,-0.52378774,2.5832965,-2.4489077e+38
-0.9935027,-0.5250541,2.5895422,-2.4088747e+38
-0.9935624,-0.5276974,2.6025789,-2.3955822e+38
-0.99552625,-0.5313835,2.6207585,-2.3822899e+38
-1.0001425,-0.5365295,2.6461382,-2.3822899e+38
-1.0101668,-0.54464334,2.6861553,-2.3956343e+38
-1.0273076,-0.55669594,2.745598,-2.515734e+38
