col_0,col_1,col_2,col_3
-1.0746249,-0.15720578,2.525528,-2.4742931e+38
-1.0710295,-0.15738225,2.5283632,-2.514222e+38
-1.0673982,-0.15755501,2.5311384,-2.5008777e+38
-1.0637876,-0.1577324,2.5339882,-2.487533e+38
-1.0601479,-0.15790708,2.5367947,-2.487533e+38
-1.0565189,-0.15808496,2.539652,-2.5275663e+38
-1.0528634,-0.15826046,2.5424716,-2.5409107e+38
-1.0492045,-0.15843707,2.545309,-2.5808918e+38
-1.0455213,-0.15861164,2.5481136,-2.6075806e+38
-1.0417274,-0.15877098,2.5506732,-2.5677036e+38
-1.0378894,-0.15892506,2.5531483,-2.5543592e+38
-1.0341761,-0.15909971,2.5559545,-2.567808e+38
-1.0302109,-0.15923713,2.558162,-2.5678601e+38
-1.025849,-0.15931423,2.5594006,-2.5679123e+38
-1.0212584,-0.15935639,2.5600777,-2.5813088e+38
-1.0172348,-0.1594878,2.562189,-2.581465e+38
-1.0147445,-0.15986206,2.5682015,-2.6214982e+38
-1.0179245,-0.1611376,2.588693,-2.5553493e+38
-1.0623448,-0.16898546,2.7147698,-2.769016e+38
-1.186143,-0.189598,3.0459125,-3.1433368e+38
-1.2912786,-0.20741482,3.3321419,
-1.3001219,-0.20986378,3.3714848,
-1.2890183,-0.20910126,3.3592346,-3.3706606e+38
-1.2838005,-0.20929068,3.3622777,-3.3173351e+38
-1.2863579,-0.21075588,3.3858163,-3.2373208e+38
-1.2957417,-0.21335983,3.427649,-3.2105276e+38
-1.3188746,-0.21826547,3.5064588,-3.1171167e+38
-1.3587911,-0.2260126,3.6309173,-3.0765101e+38
-1.3875785,-0.23197816,3.7267547,-2.9694942e+38
-1.4031417,-0.23578271,3.7878752,-2.7693278e+38
-1.4035809,-0.23707195,3.8085868,-2.4890952e+38
-1.3939779,-0.23666959,3.8021228,-2.2754803e+38
-1.3932016,-0.23776942,3.8197918,-2.3955276e+38
-1.4158734,-0.24290347,3.902271,-2.9960255e+38
-1.431027,-0.24679498,3.9647884,
-1.4256337,-0.24716537,3.9707386,
-1.416641,-0.24691235,3.966674,
-1.4093384,-0.24695277,3.9673233,
-1.403452,-0.2472431,3.9719877,
-1.397585,-0.24754003,3.9767578,
