col_0,col_1,col_2,col_3
-1.0586852,-0.15697584,2.5218341,-2.594236e+38
-1.0549101,-0.15712692,2.5242612,-2.5808916e+38
-1.0511547,-0.15728231,2.5267575,-2.5808916e+38
-1.0474011,-0.1574394,2.5292811,-2.5808916e+38
-1.0436013,-0.15759096,2.531716,-2.5808916e+38
-1.0397406,-0.15773469,2.5340252,-2.5808916e+38
-1.035876,-0.15787916,2.5363462,-2.5544109e+38
-1.032003,-0.1580237,2.538668,-2.5677553e+38
-1.0281764,-0.15817674,2.5411265,-2.5946005e+38
-1.0241251,-0.15829647,2.54305,-2.5946524e+38
-1.0194291,-0.15831721,2.5433834,-2.5680161e+38
-1.0147462,-0.15834022,2.543753,-2.5813607e+38
-1.0126683,-0.15877184,2.550687,-2.6214982e+38
-1.0098423,-0.15908979,2.555795,-2.6348428e+38
-1.0128587,-0.16033566,2.57581,-2.5155246e+38
-1.0643646,-0.16930673,2.7199311,-2.7291915e+38
-1.2174901,-0.19460863,3.126409,-3.1435974e+38
-1.3428664,-0.21570124,3.465264,
-1.3457186,-0.21722396,3.4897265,-3.3977141e+38
-1.333263,-0.21627854,3.4745383,-3.3310963e+38
-1.3253541,-0.21606493,3.4711068,-3.2776149e+38
-1.3265394,-0.21733917,3.4915776,-3.2242373e+38
-1.3299928,-0.2189997,3.518254,-3.2241326e+38
-1.3403734,-0.22182341,3.5636172,-3.1707548e+38
-1.375432,-0.22878057,3.6753848,-3.0767705e+38
-1.3970965,-0.23356941,3.7523181,-2.9563581e+38
-1.4109668,-0.23709764,3.8089995,-2.769432e+38
-1.4119304,-0.23848224,3.8312433,-2.4624585e+38
-1.405227,-0.23857945,3.832805,-2.2356032e+38
-1.4054612,-0.2398617,3.8534045,-2.4224247e+38
-1.4197791,-0.24357353,3.9130354,-3.0895927e+38
-1.4248624,-0.24573185,3.9477088,
-1.4176022,-0.24577293,3.948369,
-1.4088451,-0.24555357,3.944845,
-1.4015454,-0.24558727,3.9453862,
-1.3953851,-0.245822,3.9491575,
-1.3884506,-0.24592218,3.9507666,
-1.3807969,-0.24589534,3.9503355,
-1.3699893,-0.24530351,3.9408276,
-1.3538814,-0.24375091,3.915885,
-1.3323334,-0.24119632,3.8748453,
-1.3114247,-0.23872973,3.8352194,-3.209274e+38
-1.2927697,-0.23664814,3.8017783,-3.0357966e+38
-1.2746196,-0.23463613,3.7694552,-2.8623194e+38
-1.2591977,-0.23310643,3.7448804,-2.74222e+38
-1.2483194,-0.23240523,3.7336156,-2.7020826e+38
-1.2411759,-0.23239535,3.7334569,-2.7021346e+38
-1.2326875,-0.23213209,3.7292275,-2.6887904e+38
-1.2247324,-0.23196682,3.7265723,-2.6887902e+38
-1.2173738,-0.23191322,3.7257113,-2.7020826e+38
-1.2103721,-0.23192738,3.7259388,-2.7287715e+38
-1.2019693,-0.23167169,3.721831,-2.742116e+38
-1.1939269,-0.23148283,3.718797,-2.7688049e+38
-1.186304,-0.23137352,3.717041,-2.8221823e+38
-1.1781225,-0.23115332,3.7135036,-2.8889043e+38
-1.1692358,-0.2307913,3.7076874,-2.9556783e+38
-1.1604935,-0.23045354,3.7022612,-3.0090557e+38
-1.153374,-0.23043585,3.701977,-3.1291553e+38
-1.1478679,-0.23074234,3.7069008,-3.3026326e+38
-1.1444324,-0.23147137,3.718613,
-1.1397716,-0.23196006,3.7264636,
-1.1315497,-0.23172563,3.7226975,
-1.1216033,-0.23113288,3.713175,
-1.1122075,-0.23064679,3.7053661,
-1.1031585,-0.23022687,3.69862,
-1.0950294,-0.22999483,3.6948922,
-1.0874373,-0.22987328,3.6929395,
-1.0804702,-0.22988318,3.6930983,
-1.0738258,-0.22996227,3.694369,
-1.058425,-0.15214911,2.5212145,-2.594236e+38
-1.0546699,-0.15229827,2.5236862,-2.594236e+38
-1.0508924,-0.15244557,2.526127,-2.5808916e+38
-1.0471236,-0.15259546,2.528611,-2.5675472e+38
-1.0433278,-0.15274282,2.5310526,-2.5675472e+38
-1.0394797,-0.15288383,2.5333893,-2.5808916e+38
-1.0356077,-0.15302263,2.535689,-2.5411186e+38
-1.0317305,-0.15316194,2.5379977,-2.5811518e+38
-1.0278364,-0.15330006,2.5402863,-2.6079449e+38
-1.0234874,-0.15337129,2.5414667,-2.6078928e+38
-1.018616,-0.15336452,2.5413547,-2.5813086e+38
-1.0124385,-0.15316015,2.5379682,-2.5680163e+38
-1.0107179,-0.15363124,2.5457742,-2.5949138e+38
-1.0098664,-0.15423961,2.5558555,-2.6083104e+38
-1.0338739,-0.15866901,2.6292536,-2.6489168e+38
-1.1185554,-0.17249824,2.8584132,-2.9827352e+38
-1.2747302,-0.19754145,3.2733965,-3.290542e+38
-1.3467717,-0.20972835,3.4753416,
-1.3360546,-0.20908408,3.4646657,-3.3443886e+38
-1.3277684,-0.20881575,3.4602194,-3.3044075e+38
-1.3230491,-0.20910846,3.4650695,-3.250978e+38
-1.3251001,-0.21047953,3.4877892,-3.184256e+38
-1.3267659,-0.2118029,3.5097182,-3.2240807e+38
-1.3381828,-0.21470411,3.5577934,-3.1706507e+38
-1.3724668,-0.2213223,3.6674612,-3.0766665e+38
-1.3934624,-0.22585417,3.7425575,-2.9696504e+38
-1.4073176,-0.2292693,3.7991483,-2.7427432e+38
-1.4061233,-0.2302552,3.8154857,-2.409081e+38
-1.3982913,-0.23015879,3.813888,-2.2222588e+38
-1.4009088,-0.23179029,3.840923,-2.4491135e+38
-1.4201754,-0.236208,3.9141276,-3.169659e+38
-1.4256392,-0.23836441,3.9498608,
-1.4180074,-0.2383425,3.9494975,
-1.409212,-0.23812371,3.9458723,
-1.4029691,-0.23833622,3.9493935,
-1.3970379,-0.23860426,3.953835,
-1.3870544,-0.23817933,3.9467938,
-1.3705069,-0.23661649,3.9208965,
-1.3476828,-0.23394707,3.8766623,
-1.3213356,-0.23063333,3.8217514,-3.1693451e+38
-1.2973226,-0.2276927,3.7730231,-2.929094e+38
-1.2784519,-0.22562692,3.7387917,-2.768961e+38
-1.2615272,-0.2238834,3.7099004,-2.635517e+38
-1.2469255,-0.22253488,3.6875546,-2.528762e+38
-1.2362843,-0.22188197,3.6767354,-2.4886768e+38
-1.227846,-0.22161923,3.6723816,-2.4752807e+38
-1.2211204,-0.22166441,3.6731303,-2.4753328e+38
-1.2142732,-0.22168788,3.6735194,-2.4886772e+38
-1.2070113,-0.22163549,3.672651,-2.4886774e+38
-1.1996847,-0.22157054,3.6715748,-2.50197e+38
-1.1925913,-0.22154815,3.6712039,-2.5020218e+38
-1.1843725,-0.22131518,3.6673434,-2.502022e+38
-1.1770104,-0.22124054,3.6661062,-2.542003e+38
-1.170028,-0.22123675,3.6660435,-2.5953284e+38
-1.1628351,-0.22119288,3.6653168,-2.6621024e+38
-1.1544622,-0.2209227,3.6608396,-2.7154798e+38
